open_time_utc,close_time_utc,symbol,market,interval,open,high,low,close,volume_base,quote_asset_volume,trades_count
2025-09-11 03:00:00+00:00,2025-09-11 03:59:59.999000+00:00,BTCUSDC,SPOT,1h,113860.02,114490.0,113860.01,114441.09,98.03015,11201637.4568042,12721
2025-09-11 04:00:00+00:00,2025-09-11 04:59:59.999000+00:00,BTCUSDC,SPOT,1h,114441.09,114441.09,114123.29,114200.51,88.34928,10095419.1785942,13416
2025-09-11 05:00:00+00:00,2025-09-11 05:59:59.999000+00:00,BTCUSDC,SPOT,1h,114201.22,114382.69,114000.01,114303.17,82.62713,9435540.1153621,12814
2025-09-11 06:00:00+00:00,2025-09-11 06:59:59.999000+00:00,BTCUSDC,SPOT,1h,114303.17,114500.0,114114.34,114368.0,95.35145,10903161.0270244,12364
2025-09-11 07:00:00+00:00,2025-09-11 07:59:59.999000+00:00,BTCUSDC,SPOT,1h,114367.99,114371.99,114000.0,114134.1,110.98759,12666715.987277,13650
2025-09-11 08:00:00+00:00,2025-09-11 08:59:59.999000+00:00,BTCUSDC,SPOT,1h,114134.11,114273.92,114018.01,114099.99,77.8966,8892232.4614237,10098
2025-09-11 09:00:00+00:00,2025-09-11 09:59:59.999000+00:00,BTCUSDC,SPOT,1h,114099.98,114124.8,113823.62,113942.05,132.3709,15084961.2164248,13604
2025-09-11 10:00:00+00:00,2025-09-11 10:59:59.999000+00:00,BTCUSDC,SPOT,1h,113947.0,114160.55,113934.02,114106.0,105.06302,11980563.8617512,10544
2025-09-11 11:00:00+00:00,2025-09-11 11:59:59.999000+00:00,BTCUSDC,SPOT,1h,114102.13,114163.41,113952.59,114059.94,82.44929,9403211.1075486,6974
2025-09-11 12:00:00+00:00,2025-09-11 12:59:59.999000+00:00,BTCUSDC,SPOT,1h,114059.95,114545.99,113500.97,114034.51,457.35238,52159830.9008899,49672
2025-09-11 13:00:00+00:00,2025-09-11 13:59:59.999000+00:00,BTCUSDC,SPOT,1h,114034.01,114769.18,113459.96,114674.93,437.10563,49824316.3531121,46079
2025-09-11 14:00:00+00:00,2025-09-11 14:59:59.999000+00:00,BTCUSDC,SPOT,1h,114677.52,114717.07,113971.23,114510.9,286.58784,32775862.3527612,32136
2025-09-11 15:00:00+00:00,2025-09-11 15:59:59.999000+00:00,BTCUSDC,SPOT,1h,114501.0,114754.89,114036.06,114223.44,109.51819,12531027.8274751,24514
2025-09-11 16:00:00+00:00,2025-09-11 16:59:59.999000+00:00,BTCUSDC,SPOT,1h,114219.51,114634.0,114219.51,114522.01,99.99227,11445873.4121348,16689
2025-09-11 17:00:00+00:00,2025-09-11 17:59:59.999000+00:00,BTCUSDC,SPOT,1h,114522.01,114649.0,114368.91,114635.99,87.70003,10043484.8813697,16614
2025-09-11 18:00:00+00:00,2025-09-11 18:59:59.999000+00:00,BTCUSDC,SPOT,1h,114635.99,114671.19,114130.78,114354.01,103.20742,11800346.0272578,14917
2025-09-11 19:00:00+00:00,2025-09-11 19:59:59.999000+00:00,BTCUSDC,SPOT,1h,114354.01,114577.8,114230.09,114477.79,104.35184,11936625.2804527,11919
2025-09-11 20:00:00+00:00,2025-09-11 20:59:59.999000+00:00,BTCUSDC,SPOT,1h,114478.16,114546.81,114293.74,114440.65,73.62519,8422743.293236,8869
2025-09-11 21:00:00+00:00,2025-09-11 21:59:59.999000+00:00,BTCUSDC,SPOT,1h,114440.65,114570.43,114440.65,114529.99,34.96602,4004162.4567468,4162
2025-09-11 22:00:00+00:00,2025-09-11 22:59:59.999000+00:00,BTCUSDC,SPOT,1h,114530.0,115316.44,114483.55,115143.57,287.43028,33040487.7563222,27836
2025-09-11 23:00:00+00:00,2025-09-11 23:59:59.999000+00:00,BTCUSDC,SPOT,1h,115143.57,115547.45,115140.05,115541.71,91.18308,10522381.5424063,13601
2025-09-12 00:00:00+00:00,2025-09-12 00:59:59.999000+00:00,BTCUSDC,SPOT,1h,115541.7,116373.0,115459.85,115899.91,292.09416,33855613.2372594,38668
2025-09-12 01:00:00+00:00,2025-09-12 01:59:59.999000+00:00,BTCUSDC,SPOT,1h,115899.91,116077.0,115422.07,115432.0,207.14053,23973277.0223796,26154
2025-09-12 02:00:00+00:00,2025-09-12 02:59:59.999000+00:00,BTCUSDC,SPOT,1h,115434.52,115720.25,115305.99,115449.95,131.52674,15193070.170876,19891
2025-09-12 03:00:00+00:00,2025-09-12 03:59:59.999000+00:00,BTCUSDC,SPOT,1h,115449.94,115491.61,115093.01,115249.83,121.67467,14023531.0475319,12866
2025-09-12 04:00:00+00:00,2025-09-12 04:59:59.999000+00:00,BTCUSDC,SPOT,1h,115249.82,115568.46,115139.15,115419.0,136.02915,15695529.9449937,13977
2025-09-12 05:00:00+00:00,2025-09-12 05:59:59.999000+00:00,BTCUSDC,SPOT,1h,115419.01,115720.0,115370.63,115678.19,135.95966,15712307.321199,13928
2025-09-12 06:00:00+00:00,2025-09-12 06:59:59.999000+00:00,BTCUSDC,SPOT,1h,115678.2,115678.2,115308.92,115365.7,95.68008,11046473.9139448,8995
2025-09-12 07:00:00+00:00,2025-09-12 07:59:59.999000+00:00,BTCUSDC,SPOT,1h,115365.7,115457.99,115138.06,115144.98,84.13607,9702466.1591741,9259
2025-09-12 08:00:00+00:00,2025-09-12 08:59:59.999000+00:00,BTCUSDC,SPOT,1h,115144.99,115324.99,114992.38,115099.99,198.27514,22824693.6509982,14439
2025-09-12 09:00:00+00:00,2025-09-12 09:59:59.999000+00:00,BTCUSDC,SPOT,1h,115100.0,115182.43,114924.99,115091.95,117.27716,13493123.2163844,12527
2025-09-12 10:00:00+00:00,2025-09-12 10:59:59.999000+00:00,BTCUSDC,SPOT,1h,115091.95,115131.79,114970.0,115028.5,67.45056,7759458.7293428,9033
2025-09-12 11:00:00+00:00,2025-09-12 11:59:59.999000+00:00,BTCUSDC,SPOT,1h,115026.89,115200.0,114950.0,114967.93,95.04904,10932123.4649617,6538
2025-09-12 12:00:00+00:00,2025-09-12 12:59:59.999000+00:00,BTCUSDC,SPOT,1h,114967.94,115216.0,114664.15,115118.06,138.19322,15884122.9982743,19262
2025-09-12 13:00:00+00:00,2025-09-12 13:59:59.999000+00:00,BTCUSDC,SPOT,1h,115118.06,115267.59,114859.79,115212.66,136.28891,15676148.6031385,21455
2025-09-12 14:00:00+00:00,2025-09-12 14:59:59.999000+00:00,BTCUSDC,SPOT,1h,115212.65,115536.12,114911.39,115314.0,153.59189,17707423.5975505,29923
2025-09-12 15:00:00+00:00,2025-09-12 15:59:59.999000+00:00,BTCUSDC,SPOT,1h,115314.17,115348.0,114988.36,115169.86,75.71018,8718254.6643579,18732
2025-09-12 16:00:00+00:00,2025-09-12 16:59:59.999000+00:00,BTCUSDC,SPOT,1h,115169.86,115570.99,115068.05,115545.99,185.56485,21405228.8338165,18949
2025-09-12 17:00:00+00:00,2025-09-12 17:59:59.999000+00:00,BTCUSDC,SPOT,1h,115546.0,116000.0,115446.01,115885.01,225.46516,26114469.4453171,22132
2025-09-12 18:00:00+00:00,2025-09-12 18:59:59.999000+00:00,BTCUSDC,SPOT,1h,115885.01,116578.62,115833.99,116561.57,286.56166,33339913.5317379,23367
2025-09-12 19:00:00+00:00,2025-09-12 19:59:59.999000+00:00,BTCUSDC,SPOT,1h,116561.58,116800.0,116297.57,116756.16,520.16568,60658756.0443663,37269
2025-09-12 20:00:00+00:00,2025-09-12 20:59:59.999000+00:00,BTCUSDC,SPOT,1h,116756.96,116756.96,116076.85,116249.11,197.43116,22979453.3758868,22121
2025-09-12 21:00:00+00:00,2025-09-12 21:59:59.999000+00:00,BTCUSDC,SPOT,1h,116249.12,116249.12,115875.0,115963.0,87.88237,10197731.0009315,10912
2025-09-12 22:00:00+00:00,2025-09-12 22:59:59.999000+00:00,BTCUSDC,SPOT,1h,115963.0,116463.26,115963.0,116121.18,72.77652,8458073.4664988,12994
2025-09-12 23:00:00+00:00,2025-09-12 23:59:59.999000+00:00,BTCUSDC,SPOT,1h,116121.18,116257.96,116016.28,116122.97,98.08803,11390158.937872,9200
2025-09-13 00:00:00+00:00,2025-09-13 00:59:59.999000+00:00,BTCUSDC,SPOT,1h,116122.98,116373.12,116044.59,116303.23,88.36293,10265312.4027555,11616
2025-09-13 01:00:00+00:00,2025-09-13 01:59:59.999000+00:00,BTCUSDC,SPOT,1h,116303.23,116356.52,115678.85,115850.02,140.22922,16259164.3215631,13723
2025-09-13 02:00:00+00:00,2025-09-13 02:59:59.999000+00:00,BTCUSDC,SPOT,1h,115850.02,116081.91,115779.03,115956.02,44.85402,5201851.6278702,8629
2025-09-13 03:00:00+00:00,2025-09-13 03:59:59.999000+00:00,BTCUSDC,SPOT,1h,115956.01,116103.33,115920.94,116039.47,90.43242,10490940.9665324,12167
2025-09-13 04:00:00+00:00,2025-09-13 04:59:59.999000+00:00,BTCUSDC,SPOT,1h,116039.47,116039.48,115763.58,115784.01,81.39587,9431155.4818864,6726
2025-09-13 05:00:00+00:00,2025-09-13 05:59:59.999000+00:00,BTCUSDC,SPOT,1h,115784.0,115954.72,115750.0,115795.1,46.92103,5434772.9531232,7036
2025-09-13 06:00:00+00:00,2025-09-13 06:59:59.999000+00:00,BTCUSDC,SPOT,1h,115795.11,115898.53,115740.01,115825.26,52.51708,6081408.5149778,7607
2025-09-13 07:00:00+00:00,2025-09-13 07:59:59.999000+00:00,BTCUSDC,SPOT,1h,115825.26,115947.9,115784.75,115860.2,43.61366,5054485.3564962,5603
2025-09-13 08:00:00+00:00,2025-09-13 08:59:59.999000+00:00,BTCUSDC,SPOT,1h,115860.21,116148.03,115851.33,116052.01,52.7643,6118967.558799,6693
2025-09-13 09:00:00+00:00,2025-09-13 09:59:59.999000+00:00,BTCUSDC,SPOT,1h,116052.0,116127.91,115945.03,116115.01,66.90851,7762770.3757578,8037
2025-09-13 10:00:00+00:00,2025-09-13 10:59:59.999000+00:00,BTCUSDC,SPOT,1h,116115.01,116274.18,116000.65,116029.86,95.38054,11076803.6007281,9968
2025-09-13 11:00:00+00:00,2025-09-13 11:59:59.999000+00:00,BTCUSDC,SPOT,1h,116029.87,116098.25,115965.16,116047.94,51.92796,6024870.4831496,5881
2025-09-13 12:00:00+00:00,2025-09-13 12:59:59.999000+00:00,BTCUSDC,SPOT,1h,116047.95,116141.86,115946.0,116077.73,102.63954,11908788.575845,6649
2025-09-13 13:00:00+00:00,2025-09-13 13:59:59.999000+00:00,BTCUSDC,SPOT,1h,116077.73,116077.73,115700.0,115837.76,126.54344,14662397.3549824,15276
2025-09-13 14:00:00+00:00,2025-09-13 14:59:59.999000+00:00,BTCUSDC,SPOT,1h,115837.76,116037.09,115683.01,115868.37,104.16588,12069675.1028496,15596
2025-09-13 15:00:00+00:00,2025-09-13 15:59:59.999000+00:00,BTCUSDC,SPOT,1h,115868.38,115998.25,115677.82,115848.29,67.5307,7821747.6883788,10028
2025-09-13 16:00:00+00:00,2025-09-13 16:59:59.999000+00:00,BTCUSDC,SPOT,1h,115848.29,115899.98,115215.3,115411.86,203.24146,23474757.1149406,21322
